substance,concentration,r1,g1,b1,r2,g2,b2
glycylglycine,20,25,5,4,198,55,38
glycylglycine,20,27,6,6,198,57,40
glycylglycine,20,26,5,5,199,56,37
glycylglycine,20,27,6,6,200,58,39
glycylglycine,17.5,29,8,14,197,60,40
glycylglycine,17.5,31,7,13,198,59,41
glycylglycine,17.5,30,9,16,199,58,39
glycylglycine,17.5,30,8,15,200,59,40
glycylglycine,15,35,9,30,199,59,42
glycylglycine,15,36,9,28,199,61,45
glycylglycine,15,33,10,29,200,60,45
glycylglycine,15,34,10,27,201,60,44
glycylglycine,12.5,39,13,33,202,64,55
glycylglycine,12.5,40,15,35,201,68,53
glycylglycine,12.5,42,16,34,200,66,49
glycylglycine,12.5,41,15,30,202,65,51
glycylglycine,10,58,19,36,203,75,65
glycylglycine,10,55,23,37,203,69,69
glycylglycine,10,57,21,38,202,74,60
glycylglycine,10,56,20,35,203,71,64
glycylglycine,7.5,79,30,48,204,83,73
glycylglycine,7.5,74,31,52,204,82,79
glycylglycine,7.5,76,32,51,205,80,74
glycylglycine,7.5,75,33,50,210,80,77
glycylglycine,5,102,58,60,208,95,98
glycylglycine,5,101,52,59,211,98,95
glycylglycine,5,98,53,58,209,94,94
glycylglycine,5,100,55,57,212,96,97
glycylglycine,2.5,132,70,85,224,120,120
glycylglycine,2.5,130,74,75,226,119,129
glycylglycine,2.5,129,73,83,224,123,125
glycylglycine,2.5,134,72,80,225,121,126
glycylglycine,1.25,177,102,101,245,140,158
glycylglycine,1.25,174,101,102,240,142,156
glycylglycine,1.25,175,98,99,244,145,153
glycylglycine,1.25,178,99,100,248,147,150
asparagine,20,125,55,66,107,147,169
asparagine,20,128,58,69,110,146,171
asparagine,20,127,54,67,109,145,175
asparagine,20,129,57,70,108,148,170
asparagine,17.5,138,60,79,110,147,169
asparagine,17.5,142,62,79,111,148,173
asparagine,17.5,139,61,83,109,149,174
asparagine,17.5,139,63,80,110,148,175
asparagine,15,153,65,84,111,150,177
asparagine,15,150,64,85,112,148,176
asparagine,15,149,65,84,113,150,175
asparagine,15,152,64,85,111,152,175
asparagine,12.5,150,65,90,112,149,176
asparagine,12.5,162,66,92,113,154,176
asparagine,12.5,158,64,91,115,150,176
asparagine,12.5,160,65,93,112,151,175
asparagine,10,159,67,100,116,149,177
asparagine,10,160,69,101,131,150,175
asparagine,10,161,70,99,130,155,176
asparagine,10,160,68,101,129,153,177
asparagine,7.5,166,76,115,132,150,179
asparagine,7.5,164,78,116,144,152,174
asparagine,7.5,167,80,118,139,153,180
asparagine,7.5,165,77,117,143,150,175
asparagine,5,168,88,130,141,150,184
asparagine,5,169,90,129,145,153,182
asparagine,5,170,89,131,147,162,180
asparagine,5,167,91,130,146,160,185
asparagine,2.5,178,133,139,144,162,187
asparagine,2.5,176,132,144,150,165,193
asparagine,2.5,181,130,143,149,160,188
asparagine,2.5,180,135,145,147,163,190
asparagine,1.25,244,210,175,180,181,211
asparagine,1.25,245,209,176,178,185,213
asparagine,1.25,249,215,170,175,182,210
asparagine,1.25,250,208,178,176,186,215
l-lysine,20,18,8,4,9,10,12
l-lysine,20,17,7,4,7,9,13
l-lysine,20,16,8,3,9,11,10
l-lysine,20,17,7,5,8,8,11
l-lysine,17.5,39,8,4,10,15,21
l-lysine,17.5,40,9,4,11,14,20
l-lysine,17.5,44,8,5,14,15,23
l-lysine,17.5,41,10,4,13,16,22
l-lysine,15,62,9,5,20,20,30
l-lysine,15,60,9,5,22,19,29
l-lysine,15,63,11,4,21,20,33
l-lysine,15,61,9,5,20,21,29
l-lysine,12.5,84,10,5,25,30,38
l-lysine,12.5,82,11,5,24,33,37
l-lysine,12.5,83,13,5,26,32,38
l-lysine,12.5,83,12,6,25,31,35
l-lysine,10,106,13,5,30,41,47
l-lysine,10,100,12,5,31,42,45
l-lysine,10,105,15,4,29,41,44
l-lysine,10,104,14,5,32,39,46
l-lysine,7.5,138,32,5,39,44,48
l-lysine,7.5,140,31,6,36,45,50
l-lysine,7.5,139,29,4,37,44,48
l-lysine,7.5,141,35,5,38,46,48
l-lysine,5,171,53,5,48,46,49
l-lysine,5,173,50,6,51,48,51
l-lysine,5,168,51,6,49,47,52
l-lysine,5,175,55,7,50,46,53
l-lysine,2.5,199,65,8,67,55,66
l-lysine,2.5,200,69,9,66,57,67
l-lysine,2.5,203,68,8,65,54,65
l-lysine,2.5,205,70,9,62,54,66
l-lysine,1.25,255,84,10,69,58,77
l-lysine,1.25,253,83,11,72,61,79
l-lysine,1.25,250,80,10,71,57,76
l-lysine,1.25,255,85,12,70,60,78
glycine,20,6,5,14,0,180,223
glycine,20,7,4,12,0,181,220
glycine,20,8,6,11,0,180,225
glycine,20,8,5,12,0,180,224
glycine,17.5,9,5,13,0,183,225
glycine,17.5,8,6,14,0,182,227
glycine,17.5,9,5,13,0,180,226
glycine,17.5,8,6,12,0,181,228
glycine,15,8,5,13,0,180,227
glycine,15,9,7,14,0,182,228
glycine,15,10,7,13,0,181,230
glycine,15,11,8,14,0,180,226
glycine,12.5,10,8,14,0,182,230
glycine,12.5,10,7,13,0,183,231
glycine,12.5,11,7,14,0,182,229
glycine,12.5,10,7,14,0,182,230
glycine,10,11,8,14,1,184,231
glycine,10,10,8,13,0,182,234
glycine,10,12,8,12,1,184,229
glycine,10,11,9,15,0,183,230
glycine,7.5,13,9,21,3,183,248
glycine,7.5,14,9,21,4,183,244
glycine,7.5,15,10,20,5,184,243
glycine,7.5,16,9,19,4,185,240
glycine,5,17,11,27,7,185,242
glycine,5,18,12,29,8,184,250
glycine,5,19,10,29,8,184,249
glycine,5,19,11,28,9,185,248
glycine,2.5,20,15,30,11,185,250
glycine,2.5,20,16,32,13,184,251
glycine,2.5,22,17,30,11,186,249
glycine,2.5,19,17,31,12,185,250
glycine,1.25,28,30,50,19,195,250
glycine,1.25,25,29,53,17,194,252
glycine,1.25,24,28,51,18,193,250
glycine,1.25,27,30,49,20,191,253
dl-lysine monohydrochloride,20,60,10,0,14,7,9
dl-lysine monohydrochloride,20,55,10,0,12,8,10
dl-lysine monohydrochloride,20,57,11,0,13,9,10
dl-lysine monohydrochloride,20,59,11,0,15,8,8
dl-lysine monohydrochloride,17.5,71,12,0,29,15,33
dl-lysine monohydrochloride,17.5,70,13,0,30,17,34
dl-lysine monohydrochloride,17.5,73,12,0,32,16,35
dl-lysine monohydrochloride,17.5,72,14,0,31,14,36
dl-lysine monohydrochloride,15,88,14,0,43,25,46
dl-lysine monohydrochloride,15,87,15,0,44,24,45
dl-lysine monohydrochloride,15,86,16,0,42,23,44
dl-lysine monohydrochloride,15,85,17,0,41,24,43
dl-lysine monohydrochloride,12.5,101,18,0,50,30,58
dl-lysine monohydrochloride,12.5,102,18,0,53,31,58
dl-lysine monohydrochloride,12.5,100,17,0,52,33,59
dl-lysine monohydrochloride,12.5,98,18,0,51,32,59
dl-lysine monohydrochloride,10,112,20,0,62,40,70
dl-lysine monohydrochloride,10,112,22,0,60,38,73
dl-lysine monohydrochloride,10,113,21,1,63,39,71
dl-lysine monohydrochloride,10,113,23,2,61,39,72
dl-lysine monohydrochloride,7.5,111,38,1,63,44,75
dl-lysine monohydrochloride,7.5,110,40,3,64,46,74
dl-lysine monohydrochloride,7.5,110,39,2,63,45,75
dl-lysine monohydrochloride,7.5,109,41,3,60,44,76
dl-lysine monohydrochloride,5,123,62,5,67,49,78
dl-lysine monohydrochloride,5,122,63,6,65,47,77
dl-lysine monohydrochloride,5,120,60,7,69,48,80
dl-lysine monohydrochloride,5,125,62,6,68,49,79
dl-lysine monohydrochloride,2.5,160,70,8,88,70,92
dl-lysine monohydrochloride,2.5,164,71,9,90,74,94
dl-lysine monohydrochloride,2.5,163,72,10,87,71,93
dl-lysine monohydrochloride,2.5,164,71,10,91,73,95
dl-lysine monohydrochloride,1.25,250,115,14,104,121,164
dl-lysine monohydrochloride,1.25,252,113,15,107,122,162
dl-lysine monohydrochloride,1.25,253,112,13,106,120,159
dl-lysine monohydrochloride,1.25,255,110,16,103,118,160
dl-alanine,20,55,17,54,20,22,24
dl-alanine,20,54,16,53,21,21,23
dl-alanine,20,53,14,55,21,21,24
dl-alanine,20,55,16,52,20,22,23
dl-alanine,17.5,57,20,60,23,24,30
dl-alanine,17.5,56,19,61,25,25,28
dl-alanine,17.5,58,18,62,24,24,27
dl-alanine,17.5,55,19,63,23,25,28
dl-alanine,15,56,21,69,29,27,32
dl-alanine,15,59,22,70,30,28,33
dl-alanine,15,60,20,71,31,28,33
dl-alanine,15,61,23,72,32,29,34
dl-alanine,12.5,60,26,79,39,33,37
dl-alanine,12.5,62,25,78,34,32,38
dl-alanine,12.5,63,24,77,35,32,39
dl-alanine,12.5,62,27,80,34,30,38
dl-alanine,10,63,28,86,40,35,44
dl-alanine,10,64,29,87,39,36,43
dl-alanine,10,65,32,88,38,36,42
dl-alanine,10,67,30,87,38,37,43
dl-alanine,7.5,73,33,100,45,41,60
dl-alanine,7.5,75,31,103,46,42,58
dl-alanine,7.5,76,34,104,44,43,59
dl-alanine,7.5,72,32,102,46,44,61
dl-alanine,5,83,35,121,50,50,70
dl-alanine,5,86,33,120,54,48,74
dl-alanine,5,87,39,120,53,49,73
dl-alanine,5,85,34,122,52,50,72
dl-alanine,2.5,160,50,148,66,64,93
dl-alanine,2.5,162,54,145,69,65,94
dl-alanine,2.5,164,53,147,67,66,91
dl-alanine,2.5,168,55,146,68,66,90
dl-alanine,1.25,255,68,189,92,112,136
dl-alanine,1.25,255,67,190,94,108,133
dl-alanine,1.25,244,66,188,93,11,135
dl-alanine,1.25,243,70,191,95,109,130
