substance,concentration,r1,g1,b1,r2,g2,b2
phenol,0.2,124,111,24,145,102,29
phenol,0.2,128,114,25,148,101,24
phenol,0.2,126,112,26,147,103,27
phenol,0.2,125,115,25,149,104,26
phenol,0.2,127,113,27,146,105,24
phenol,0.15,138,124,29,150,113,33
phenol,0.15,135,120,28,149,114,32
phenol,0.15,137,124,31,150,112,33
phenol,0.15,139,123,33,151,110,35
phenol,0.15,136,127,30,150,111,31
phenol,0.1,146,135,38,154,119,41
phenol,0.1,146,137,36,152,121,41
phenol,0.1,144,135,37,152,122,40
phenol,0.1,146,139,37,148,123,38
phenol,0.1,149,137,38,150,128,42
phenol,0.05,161,135,42,153,126,45
phenol,0.05,160,142,42,156,129,44
phenol,0.05,158,138,42,157,129,45
phenol,0.05,152,138,41,160,128,46
phenol,0.05,161,135,43,162,128,44
phenol,0.02,176,139,47,153,133,49
phenol,0.02,176,144,48,159,128,48
phenol,0.02,174,142,48,158,131,49
phenol,0.02,177,142,48,162,133,49
phenol,0.02,175,139,46,157,127,49
p-dihydroxybenzene,0.2,126,111,59,118,112,50
p-dihydroxybenzene,0.2,123,115,62,119,115,49
p-dihydroxybenzene,0.2,123,113,61,120,113,50
p-dihydroxybenzene,0.2,117,108,62,120,109,50
p-dihydroxybenzene,0.2,119,115,61,119,111,51
p-dihydroxybenzene,0.15,137,131,99,131,111,56
p-dihydroxybenzene,0.15,136,138,103,129,108,54
p-dihydroxybenzene,0.15,138,134,97,127,108,55
p-dihydroxybenzene,0.15,132,139,98,123,106,55
p-dihydroxybenzene,0.15,134,139,101,130,107,56
p-dihydroxybenzene,0.1,167,165,134,128,109,59
p-dihydroxybenzene,0.1,164,161,137,130,110,61
p-dihydroxybenzene,0.1,166,164,132,129,112,59
p-dihydroxybenzene,0.1,167,161,135,123,117,59
p-dihydroxybenzene,0.1,171,157,133,129,117,59
p-dihydroxybenzene,0.05,186,177,164,130,109,65
p-dihydroxybenzene,0.05,190,184,167,130,106,68
p-dihydroxybenzene,0.05,186,180,162,130,109,67
p-dihydroxybenzene,0.05,182,183,163,133,105,70
p-dihydroxybenzene,0.05,181,172,165,128,113,69
p-dihydroxybenzene,0.02,205,206,187,135,110,78
p-dihydroxybenzene,0.02,203,196,189,139,115,77
p-dihydroxybenzene,0.02,207,201,185,135,112,76
p-dihydroxybenzene,0.02,215,209,186,133,115,77
p-dihydroxybenzene,0.02,204,193,188,132,117,74
m-cresol,0.2,138,63,10,180,176,131
m-cresol,0.2,138,61,10,189,175,125
m-cresol,0.2,141,62,10,184,175,128
m-cresol,0.2,134,60,10,187,168,128
m-cresol,0.2,144,63,10,190,179,131
m-cresol,0.15,145,75,11,185,176,132
m-cresol,0.15,149,79,11,191,173,132
m-cresol,0.15,148,77,11,186,178,132
m-cresol,0.15,150,74,11,184,186,133
m-cresol,0.15,154,79,11,191,169,127
m-cresol,0.1,155,90,14,191,180,144
m-cresol,0.1,153,88,14,190,181,144
m-cresol,0.1,152,88,14,191,179,141
m-cresol,0.1,151,86,14,196,185,135
m-cresol,0.1,145,89,14,197,176,136
m-cresol,0.05,167,105,23,186,174,138
m-cresol,0.05,159,105,22,191,180,141
m-cresol,0.05,163,107,23,190,178,142
m-cresol,0.05,160,107,24,197,170,137
m-cresol,0.05,159,104,23,188,170,140
m-cresol,0.02,174,129,37,190,193,149
m-cresol,0.02,174,132,36,195,188,153
m-cresol,0.02,178,135,37,199,191,154
m-cresol,0.02,179,127,36,195,195,152
m-cresol,0.02,172,134,35,188,188,152
p-cresol,0.2,108,96,44,182,174,134
p-cresol,0.2,109,100,45,184,173,133
p-cresol,0.2,110,97,44,184,175,133
p-cresol,0.2,114,98,45,185,177,130
p-cresol,0.2,113,94,45,191,169,135
p-cresol,0.15,124,124,53,196,178,145
p-cresol,0.15,129,123,55,194,187,139
p-cresol,0.15,127,122,54,191,182,141
p-cresol,0.15,128,117,55,185,183,142
p-cresol,0.15,127,122,55,197,182,142
p-cresol,0.1,148,147,64,191,192,148
p-cresol,0.1,146,152,65,201,193,147
p-cresol,0.1,144,150,66,196,190,149
p-cresol,0.1,142,147,64,189,198,148
p-cresol,0.1,142,153,66,205,195,149
p-cresol,0.05,161,177,76,206,188,163
p-cresol,0.05,163,168,75,203,186,160
p-cresol,0.05,165,170,75,200,190,164
p-cresol,0.05,162,172,75,201,192,160
p-cresol,0.05,167,165,79,209,188,165
p-cresol,0.02,166,188,90,211,190,168
p-cresol,0.02,165,180,87,212,191,168
p-cresol,0.02,170,183,89,209,195,164
p-cresol,0.02,173,175,85,200,197,169
p-cresol,0.02,166,189,85,215,203,168
2-tert-butylphenol,0.2,166,150,112,156,172,166
2-tert-butylphenol,0.2,164,147,115,159,176,166
2-tert-butylphenol,0.2,166,148,117,156,178,163
2-tert-butylphenol,0.2,160,150,121,161,168,168
2-tert-butylphenol,0.2,156,153,117,154,169,161
2-tert-butylphenol,0.15,170,155,131,163,178,165
2-tert-butylphenol,0.15,165,155,129,162,177,169
2-tert-butylphenol,0.15,169,153,130,164,179,173
2-tert-butylphenol,0.15,159,155,128,162,170,163
2-tert-butylphenol,0.15,161,152,128,164,179,168
2-tert-butylphenol,0.1,166,161,139,164,174,172
2-tert-butylphenol,0.1,167,161,139,167,181,175
2-tert-butylphenol,0.1,167,164,138,166,179,173
2-tert-butylphenol,0.1,170,161,142,167,178,175
2-tert-butylphenol,0.1,165,164,141,172,187,173
2-tert-butylphenol,0.05,169,175,145,171,180,173
2-tert-butylphenol,0.05,165,176,143,166,178,174
2-tert-butylphenol,0.05,169,172,147,168,180,177
2-tert-butylphenol,0.05,166,176,140,173,186,175
2-tert-butylphenol,0.05,163,174,141,166,188,186
2-tert-butylphenol,0.02,175,176,164,172,181,182
2-tert-butylphenol,0.02,167,175,162,167,178,184
2-tert-butylphenol,0.02,172,178,162,170,182,180
2-tert-butylphenol,0.02,180,179,167,178,175,179
2-tert-butylphenol,0.02,170,171,166,169,181,174
o-cresol,0.2,129,109,54,120,114,89
o-cresol,0.2,133,106,55,120,117,90
o-cresol,0.2,132,106,56,122,115,89
o-cresol,0.2,134,108,57,117,113,89
o-cresol,0.2,130,110,56,125,119,89
o-cresol,0.15,150,125,69,122,119,99
o-cresol,0.15,143,123,70,124,117,98
o-cresol,0.15,146,124,68,123,119,99
o-cresol,0.15,141,118,71,122,117,100
o-cresol,0.15,139,121,69,125,125,100
o-cresol,0.1,159,139,79,135,128,111
o-cresol,0.1,162,134,78,133,125,110
o-cresol,0.1,159,137,77,133,125,109
o-cresol,0.1,166,144,75,136,128,107
o-cresol,0.1,153,131,79,133,131,109
o-cresol,0.05,180,156,91,137,133,122
o-cresol,0.05,179,160,87,140,129,117
o-cresol,0.05,175,157,89,141,133,120
o-cresol,0.05,178,160,91,146,136,124
o-cresol,0.05,167,153,90,146,126,120
o-cresol,0.02,186,161,102,147,139,127
o-cresol,0.02,188,164,105,142,139,128
o-cresol,0.02,184,166,103,144,138,129
o-cresol,0.02,180,172,100,138,136,132
o-cresol,0.02,190,174,101,143,133,130
m-dihydroxybenzene,0.2,129,67,4,169,179,159
m-dihydroxybenzene,0.2,122,65,4,167,170,159
m-dihydroxybenzene,0.2,125,66,4,170,175,159
m-dihydroxybenzene,0.2,127,65,4,178,179,160
m-dihydroxybenzene,0.2,122,69,4,167,182,159
m-dihydroxybenzene,0.15,137,93,7,171,175,165
m-dihydroxybenzene,0.15,132,94,7,174,181,170
m-dihydroxybenzene,0.15,135,92,7,173,178,167
m-dihydroxybenzene,0.15,134,92,7,176,184,174
m-dihydroxybenzene,0.15,139,89,7,166,181,175
m-dihydroxybenzene,0.1,153,125,10,181,178,168
m-dihydroxybenzene,0.1,151,123,10,176,180,168
m-dihydroxybenzene,0.1,153,126,10,176,182,173
m-dihydroxybenzene,0.1,147,125,10,179,177,170
m-dihydroxybenzene,0.1,151,125,10,169,189,164
m-dihydroxybenzene,0.05,166,154,16,179,188,183
m-dihydroxybenzene,0.05,164,152,16,180,187,176
m-dihydroxybenzene,0.05,166,154,16,180,185,179
m-dihydroxybenzene,0.05,163,161,15,179,189,173
m-dihydroxybenzene,0.05,158,148,17,171,179,171
m-dihydroxybenzene,0.02,167,164,20,187,188,192
m-dihydroxybenzene,0.02,166,166,20,182,190,192
m-dihydroxybenzene,0.02,171,163,20,186,187,188
m-dihydroxybenzene,0.02,167,170,20,188,196,185
m-dihydroxybenzene,0.02,176,160,21,188,182,186
o-dihydroxybenzene,0.2,135,117,87,113,98,44
o-dihydroxybenzene,0.2,138,121,91,113,103,45
o-dihydroxybenzene,0.2,136,120,90,114,101,45
o-dihydroxybenzene,0.2,131,116,92,110,101,47
o-dihydroxybenzene,0.2,129,114,94,115,97,47
o-dihydroxybenzene,0.15,160,133,102,120,100,52
o-dihydroxybenzene,0.15,154,134,103,118,104,51
o-dihydroxybenzene,0.15,156,133,101,122,103,52
o-dihydroxybenzene,0.15,162,130,102,123,102,53
o-dihydroxybenzene,0.15,160,134,104,128,102,52
o-dihydroxybenzene,0.1,164,150,110,123,102,57
o-dihydroxybenzene,0.1,168,149,108,127,103,55
o-dihydroxybenzene,0.1,169,147,110,124,105,56
o-dihydroxybenzene,0.1,175,153,107,124,107,58
o-dihydroxybenzene,0.1,167,147,113,127,108,56
o-dihydroxybenzene,0.05,181,163,123,127,104,48
o-dihydroxybenzene,0.05,188,154,123,124,108,50
o-dihydroxybenzene,0.05,185,159,120,125,107,49
o-dihydroxybenzene,0.05,183,156,121,126,106,49
o-dihydroxybenzene,0.05,193,158,116,123,106,47
o-dihydroxybenzene,0.02,198,188,126,130,108,55
o-dihydroxybenzene,0.02,205,190,125,125,108,56
o-dihydroxybenzene,0.02,202,186,127,127,110,56
o-dihydroxybenzene,0.02,201,182,121,127,115,57
o-dihydroxybenzene,0.02,202,179,124,124,113,58
